[INFO] {2022-04-26 00:39:17} | views | PID:21240 | TID:10860 | admin@admin.ru IP:127.0.0.1 | Path:/login | [Success login]
[INFO] {2022-04-26 00:39:17} | views | PID:21240 | TID:10860 | admin@admin.ru IP:127.0.0.1 | Path:/ | Getting posts from db
[INFO] {2022-04-26 00:39:47} | views | PID:21240 | TID:10860 | admin@admin.ru IP:127.0.0.1 | Path:/create_cycle | 
Creating cycle... title: Test Cycle, category: 4, description: Test Description, price: 22222 
[INFO] {2022-04-26 00:39:51} | views | PID:21240 | TID:10860 | AnonymousUser IP:127.0.0.1 | Path:/logout | [Logout]
[INFO] {2022-04-26 00:39:51} | views | PID:21240 | TID:10860 | AnonymousUser IP:127.0.0.1 | Path:/ | Getting posts from db
[INFO] {2022-04-27 21:09:34} | views | PID:23828 | TID:19884 | admin@admin.ru IP:127.0.0.1 | Path:/login | [Success login]
[INFO] {2022-04-27 21:09:34} | views | PID:23828 | TID:19884 | admin@admin.ru IP:127.0.0.1 | Path:/ | Getting posts from db
[INFO] {2022-04-27 21:09:35} | views | PID:23828 | TID:11272 | admin@admin.ru IP:127.0.0.1 | Path:/ | Getting posts from db
[INFO] {2022-04-27 21:09:51} | views | PID:23828 | TID:11272 | admin@admin.ru IP:127.0.0.1 | Path:/ | Getting posts from db
[INFO] {2022-04-30 19:05:09} | views | PID:19516 | TID:22340 | admin@admin.ru IP:127.0.0.1 | Path:/ | Getting posts from db
[INFO] {2022-05-02 09:23:28} | views | PID:10 | TID:139824539510592 | AnonymousUser IP:172.31.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-02 09:23:32} | views | PID:10 | TID:139824539510592 | AnonymousUser IP:172.31.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-02 09:46:27} | views | PID:11 | TID:139729106847552 | admin@admin.ru IP:192.168.0.4 | Path:/login | [Success login]
[INFO] {2022-05-02 09:46:27} | views | PID:11 | TID:139729106847552 | admin@admin.ru IP:192.168.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 11:19:17} | views | PID:15 | TID:140158090954560 | admin@admin.ru IP:192.168.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 11:19:18} | views | PID:15 | TID:140158090954560 | admin@admin.ru IP:192.168.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 11:21:32} | views | PID:15 | TID:140158090954560 | admin@admin.ru IP:192.168.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 11:24:59} | views | PID:11 | TID:140236448565056 | AnonymousUser IP:172.18.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 11:25:00} | views | PID:11 | TID:140236448565056 | AnonymousUser IP:172.18.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 11:25:02} | views | PID:11 | TID:140236448565056 | AnonymousUser IP:172.18.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 11:25:04} | views | PID:11 | TID:140236448565056 | AnonymousUser IP:172.18.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 11:25:07} | views | PID:11 | TID:140236448565056 | AnonymousUser IP:172.18.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 11:25:10} | views | PID:11 | TID:140236448565056 | AnonymousUser IP:172.18.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 13:56:23} | views | PID:11 | TID:140141037815616 | AnonymousUser IP:172.19.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 13:56:41} | views | PID:11 | TID:140141037815616 | AnonymousUser IP:172.19.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 13:57:06} | views | PID:11 | TID:140141037815616 | AnonymousUser IP:172.19.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 13:57:11} | views | PID:11 | TID:140141037815616 | user@user.ru IP:172.19.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 13:57:11} | views | PID:11 | TID:140141037815616 | user@user.ru IP:172.19.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 13:59:59} | views | PID:11 | TID:140141037815616 | AnonymousUser IP:172.19.0.4 | Path:/logout | [Logout]
[INFO] {2022-05-08 13:59:59} | views | PID:11 | TID:140141037815616 | AnonymousUser IP:172.19.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 14:00:07} | views | PID:11 | TID:140141037815616 | admin@admin.ru IP:172.19.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 14:00:07} | views | PID:11 | TID:140141037815616 | admin@admin.ru IP:172.19.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 14:00:50} | views | PID:11 | TID:140141037815616 | admin@admin.ru IP:172.19.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 14:01:48} | views | PID:10 | TID:140584025888576 | AnonymousUser IP:172.20.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 14:08:03} | views | PID:10 | TID:140384256030528 | admin@admin.ru IP:172.21.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 14:08:03} | views | PID:10 | TID:140384256030528 | admin@admin.ru IP:172.21.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 14:08:07} | views | PID:10 | TID:140384256030528 | AnonymousUser IP:172.21.0.4 | Path:/logout | [Logout]
[INFO] {2022-05-08 14:08:07} | views | PID:10 | TID:140384256030528 | AnonymousUser IP:172.21.0.4 | Path:/ | Getting posts from db
[INFO] {2022-05-08 14:08:09} | views | PID:10 | TID:140384256030528 | admin@admin.ru IP:172.21.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 14:08:09} | views | PID:10 | TID:140384256030528 | admin@admin.ru IP:172.21.0.4 | Path:/ | Getting posts from db
