
[INFO] {2022-04-26 00:39:17} | views | admin@admin.ru IP:127.0.0.1 | Path:/login | [Success login]
[INFO] {2022-04-26 00:39:51} | views | AnonymousUser IP:127.0.0.1 | Path:/logout | [Logout]
[INFO] {2022-04-27 21:09:34} | views | admin@admin.ru IP:127.0.0.1 | Path:/login | [Success login]
[INFO] {2022-05-02 09:46:27} | views | admin@admin.ru IP:192.168.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 13:57:11} | views | user@user.ru IP:172.19.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 13:59:59} | views | AnonymousUser IP:172.19.0.4 | Path:/logout | [Logout]
[INFO] {2022-05-08 14:00:07} | views | admin@admin.ru IP:172.19.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 14:08:03} | views | admin@admin.ru IP:172.21.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 14:08:07} | views | AnonymousUser IP:172.21.0.4 | Path:/logout | [Logout]
[INFO] {2022-05-08 14:08:09} | views | admin@admin.ru IP:172.21.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 15:57:17} | views | admin@admin.ru IP:172.29.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 16:04:37} | views | admin@admin.ru IP:172.31.0.4 | Path:/login | [Success login]
[INFO] {2022-05-08 16:23:46} | views | admin@admin.ru IP:192.168.16.4 | Path:/login | [Success login]
[INFO] {2022-05-08 17:26:41} | views | admin@admin.ru IP:192.168.144.4 | Path:/login | [Success login]
[INFO] {2022-05-08 17:28:08} | views | AnonymousUser IP:192.168.160.4 | Path:/logout | [Logout]
[INFO] {2022-05-08 17:28:11} | views | admin@admin.ru IP:192.168.160.4 | Path:/login | [Success login]
[INFO] {2022-05-10 11:19:39} | views | AnonymousUser IP:192.168.176.4 | Path:/logout | [Logout]
[INFO] {2022-05-10 11:19:50} | views | admin@admin.ru IP:192.168.176.4 | Path:/login | [Success login]
[INFO] {2022-05-10 11:25:32} | views | AnonymousUser IP:192.168.176.4 | Path:/logout | [Logout]
[INFO] {2022-05-10 11:25:35} | views | admin@admin.ru IP:192.168.176.4 | Path:/login | [Success login]
[INFO] {2022-05-10 14:02:17} | views | AnonymousUser IP:192.168.176.4 | Path:/logout | [Logout]
[INFO] {2022-05-10 14:02:52} | views | admin@admin.ru IP:192.168.176.4 | Path:/login | [Success login]
